Waf: Entering directory `/home/zsh/example/build'
Waf: Leaving directory `/home/zsh/example/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.251s)
34.6205 0 14 100 
34.7 0 19 100 
34.8 0 19 100 
34.9 0 19 100 
35.0034 0 9 100 
35.0379 0 35 100 
35.0432 0 44 100 
35.1015 0 14 100 
35.2015 0 44 100 
35.3 0 14 100 
35.4015 0 46 100 
35.5015 0 46 100 
35.6 0 44 100 
35.6887 0 16 100 
35.6921 0 80 100 
35.6987 0 16 100 
35.6994 0 77 100 
35.7 0 97 100 
35.7012 0 80 100 
35.7029 0 77 100 
35.7054 1 78 100 45 
35.7072 1 78 100 45 
35.7087 0 16 100 
35.7102 0 80 100 
35.7119 0 77 100 
35.7137 1 78 100 45 
35.7187 0 16 100 
35.7202 0 80 100 
35.7219 0 77 100 
35.7237 1 78 100 45 
35.7287 0 16 100 
35.7302 0 80 100 
35.7319 0 77 100 
35.7336 1 78 100 45 
35.7387 0 16 100 
35.7402 0 80 100 
35.742 0 77 100 
35.7437 1 78 100 45 
35.7487 0 16 100 
35.7502 0 80 100 
35.752 0 77 100 
35.7538 1 78 100 45 
35.7587 0 16 100 
35.7602 0 80 100 
35.7619 0 77 100 
35.7638 1 78 100 45 
35.7687 0 16 100 
35.7702 0 80 100 
35.772 0 77 100 
35.7737 1 78 100 45 
35.8015 0 14 100 
35.9 0 38 100 
36.0015 0 9 100 
36.0989 0 38 100 
36.1 0 44 100 
36.1089 0 38 100 
36.1091 0 62 100 
36.1109 0 62 100 
36.2 0 35 100 
36.2015 0 44 100 
36.3 0 3 100 
36.4015 0 9 100 
36.5015 0 46 100 
36.5245 0 14 100 
36.5261 0 16 100 
36.5278 0 80 100 
36.5295 0 77 100 
36.5313 0 78 100 
36.5345 0 14 100 
36.536 0 16 100 
36.5376 0 80 100 
36.5394 0 77 100 
36.5411 0 78 100 
36.5445 0 14 100 
36.546 0 16 100 
36.5476 0 80 100 
36.5493 0 77 100 
36.5511 0 78 100 
36.5545 0 14 100 
36.556 0 16 100 
36.5578 0 80 100 
36.5595 0 77 100 
36.5612 0 78 100 
36.5645 0 14 100 
36.566 0 16 100 
36.5676 0 80 100 
36.5695 0 77 100 
36.5713 0 78 100 
36.5745 0 14 100 
36.576 0 16 100 
36.5777 0 80 100 
36.5794 0 77 100 
36.5812 0 78 100 
36.5845 0 14 100 
36.586 0 16 100 
36.5877 0 80 100 
36.5893 0 77 100 
36.5912 0 78 100 
36.6015 0 77 100 
36.6033 0 78 100 
36.7015 0 9 100 
36.8 0 19 100 
36.9 0 19 100 
37 0 19 100 
37.0478 0 19 100 
37.0559 0 8 100 
37.0578 0 19 100 
37.0593 0 8 100 
37.0678 0 19 100 
37.0693 0 8 100 
37.0734 0 46 100 
37.0778 0 19 100 
37.0793 0 8 100 
37.0816 0 39 100 
37.0834 0 46 100 
37.0849 0 39 100 
37.0878 0 19 100 
37.0893 0 8 100 
37.0934 0 46 100 
37.0949 0 39 100 
37.0978 0 19 100 
37.0993 0 8 100 
37.1 0 19 100 
37.1015 0 8 100 
37.1034 0 46 100 
37.1049 0 39 100 
37.1065 0 9 100 
37.1078 0 19 100 
37.1093 0 8 100 
37.1134 0 46 100 
37.1147 0 55 100 
37.1149 0 39 100 
37.1165 0 9 100 
37.1178 0 19 100 
37.118 0 55 100 
37.1193 0 8 100 
37.1234 0 46 100 
37.1249 0 39 100 
37.1265 0 9 100 
37.128 0 55 100 
37.1365 0 9 100 
37.138 0 55 100 
37.1465 0 9 100 
37.148 0 55 100 
37.1565 0 9 100 
37.158 0 55 100 
37.1665 0 9 100 
37.168 0 55 100 
37.1765 0 9 100 
37.178 0 55 100 
37.1865 0 9 100 
37.188 0 55 100 
37.1965 0 9 100 
37.198 0 55 100 
37.2 0 19 100 
37.2015 0 8 100 
37.2065 0 9 100 
37.208 0 55 100 
37.3 0 19 100 
37.3015 0 8 100 
37.4 0 19 100 
37.4015 0 8 100 
37.5 0 19 100 
37.5015 0 8 100 
37.6 0 19 100 
37.6015 0 8 100 
37.7 0 19 100 
37.7015 0 8 100 
37.8 0 19 100 
37.8015 0 8 100 
37.9015 0 9 100 
38 0 16 100 
38.1032 0 35 100 
38.2 0 14 100 
38.3015 0 46 100 
38.4 0 19 100 
38.4015 0 8 100 
38.4453 0 16 100 
38.4469 0 14 100 
38.5 0 19 100 
38.5015 0 8 100 
38.5314 0 14 100 
38.533 0 16 100 
38.5348 0 80 100 
38.5354 0 9 100 
38.5371 0 55 100 
38.5411 0 78 100 
38.5414 0 14 100 
38.5429 0 16 100 
38.5433 0 35 100 
38.5446 0 80 100 
38.545 0 44 100 
38.5463 0 78 100 
38.6 0 19 100 
38.6015 0 8 100 
38.7 0 19 100 
38.8 0 19 100 
38.9 0 19 100 
39 0 19 100 
39.1 0 19 100 
39.2 0 19 100 
39.3 0 19 100 
39.4 0 20 100 
39.5 0 16 100 
39.6 0 85 100 
39.6037 0 19 100 
39.6054 0 8 100 
